section,route,target_id,exact_target,source
4.1,Intro,4.1-IC1,"I can construct evidence for a function family using patterns in graphs, equations, tables, and contexts.",Original Unit 4 Assessment Plan
4.1,Intro,4.1-IC2,"I can apply family features to sort representations into linear, quadratic, exponential, absolute value, and other familiar forms.",Original Unit 4 Assessment Plan
4.1,Intro,4.1-IC3,I can determine which representation gives the strongest evidence for a function family when features seem similar.,Original Unit 4 Assessment Plan
4.1,Review,4.1-REVIEW,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,Original Unit 4 Assessment Plan
4.1,Mastery Retrieval,4.1-MASTERY,Analyze and compare linear relationships using multiple representations.,Original Unit 4 Assessment Plan
4.2,Intro,4.2-IC1,I can build translated graphs by moving key points and key features from a parent function.,Original Unit 4 Assessment Plan
4.2,Intro,4.2-IC2,I can use horizontal and vertical shifts to write equations for translated functions.,Original Unit 4 Assessment Plan
4.2,Intro,4.2-IC3,"I can predict how changing values in an equation moves a graph left, right, up, or down.",Original Unit 4 Assessment Plan
4.2,Review,4.2-REVIEW,Graph and interpret linear inequalities.,Original Unit 4 Assessment Plan
4.2,Mastery Retrieval,4.2-MASTERY,Graph linear functions and interpret key features.,Original Unit 4 Assessment Plan
4.3,Intro,4.3-IC1,"I can design transformed graphs using stretches, compressions, reflections, and translations of parent functions.",Original Unit 4 Assessment Plan
4.3,Intro,4.3-IC2,I can apply transformation rules to key points and features across function families.,Original Unit 4 Assessment Plan
4.3,Intro,4.3-IC3,"I can assess whether an equation, graph, or table represents the same transformed function.",Original Unit 4 Assessment Plan
4.3,Review,4.3-REVIEW,Analyze and interpret systems of linear inequalities.,Original Unit 4 Assessment Plan
4.3,Mastery Retrieval,4.3-MASTERY,Interpret slope as a measure of constant rate of change.,Original Unit 4 Assessment Plan
4.4,Intro,4.4-IC1,"I can formulate polynomial sums, differences, and products from area, perimeter, and expression contexts.",Original Unit 4 Assessment Plan
4.4,Intro,4.4-IC2,"I can use structure and like terms to add, subtract, and multiply polynomial expressions.",Original Unit 4 Assessment Plan
4.4,Intro,4.4-IC3,I can extend polynomial operations to equivalent expressions written in different forms.,Original Unit 4 Assessment Plan
4.4,Review,4.4-REVIEW,Solve systems using substitution and choose efficient forms for solving.,Original Unit 4 Assessment Plan
4.4,Mastery Retrieval,4.4-MASTERY,"Write linear equations from graphs, tables, and situations.",Original Unit 4 Assessment Plan
4.5,Intro,4.5-IC1,"I can construct connections between polynomial structure, quadratic graphs, and key features.",Original Unit 4 Assessment Plan
4.5,Intro,4.5-IC2,I can predict graph features from equivalent quadratic expressions.,Original Unit 4 Assessment Plan
4.5,Intro,4.5-IC3,"I can critique whether a polynomial expression supports a claimed vertex, intercept, axis of symmetry, or direction of opening.",Original Unit 4 Assessment Plan
4.5,Review,4.5-REVIEW,Create and solve systems that model real-world situations.,Original Unit 4 Assessment Plan
4.5,Mastery Retrieval,4.5-MASTERY,Use linear models to represent and interpret real-world data.,Original Unit 4 Assessment Plan
SUM,Mastery Goal / Summative,U4-MG01,"Interpret slope as constant rate of change across tables, graphs, and contexts and judge whether a rate is reasonable.",Original Unit 4 Assessment Plan
SUM,Mastery Goal / Summative,U4-MG02,"Graph linear functions and write linear equations from slope, intercepts, tables, graphs, and situations.",Original Unit 4 Assessment Plan
SUM,Mastery Goal / Summative,U4-MG03,"Compare linear relationships shown in different representations using slope, intercepts, and contextual meaning.",Original Unit 4 Assessment Plan
SUM,Mastery Goal / Summative,U4-MG04,"Build and use linear models for real-world data, make predictions, and judge model fit for the question being asked.",Original Unit 4 Assessment Plan
ALL,Warm-Up Diamond prior retrieval,PRIOR-INTEGER-OPS,"Accurately perform operations with integers, fractions, and decimals while interpreting results in mathematical and contextual situations.",Original Unit 1 Assessment Plan via current Framework
