Factor $x^2+5x+6$.	$(x+2)(x+3)$
Factor $x^2+7x+12$.	$(x+3)(x+4)$
Factor $x^2+7x+10$.	$(x+2)(x+5)$
Factor $x^2+9x+20$.	$(x+4)(x+5)$
Factor $x^2+10x+21$.	$(x+3)(x+7)$
Factor $x^2+11x+30$.	$(x+5)(x+6)$
Factor $x^2+7x+6$.	$(x+1)(x+6)$
Factor $x^2+9x+14$.	$(x+2)(x+7)$
Factor $x^2+11x+24$.	$(x+3)(x+8)$
Factor $x^2+11x+28$.	$(x+4)(x+7)$
Factor $x^2+13x+40$.	$(x+5)(x+8)$
Factor $x^2+13x+42$.	$(x+6)(x+7)$
Factor $x^2-x-6$.	$(x+2)(x-3)$
Factor $x^2-x-12$.	$(x+3)(x-4)$
Factor $x^2-x-20$.	$(x+4)(x-5)$
Factor $x^2-x-30$.	$(x+5)(x-6)$
Factor $x^2-5x-14$.	$(x+2)(x-7)$
Factor $x^2-5x-24$.	$(x+3)(x-8)$
