Constant first difference,linear - first differences
Constant second difference,quadratic - second differences
Constant ratio,exponential - constant ratio
V shape with straight arms,absolute value - V shape
y=4x-3,linear equation
y=x^2+2,quadratic equation
y=3^x,exponential equation
y=|x|-1,absolute value equation
Classify sequence 2 5 8 11,linear sequence
Classify sequence 1 4 9 16,quadratic sequence
Classify sequence 2 6 18 54,exponential sequence
Classify sequence 3 2 1 0 1,absolute value sequence
Area of square versus side,quadratic context
Doubles each hour,exponential context
Adds 5 each week,linear context
Distance from fixed point,absolute value context
Equation with variable in exponent,exponential structure
Graph with one turning point parabola,quadratic graph
