Solve the system $y=2x+23$ and $y=-7x-40$., $(-7;9)$.
Solve the system $y=7x+27$ and $y=-3x-23$., $(-5;-8)$.
Solve the system $y=x+7$ and $y=-x-9$., $(-8;-1)$.
Solve the system $y=x-21$ and $y=-x-3$., $(9;-12)$.
Solve the system $y=x+15$ and $y=-x+1$., $(-7;8)$.
Solve the system $y=6x-52$ and $y=-3x+29$., $(9;2)$.
Solve the system $y=3x-12$ and $y=-2x+8$., $(4;0)$.
Solve the system $y=x+22$ and $y=-4x-3$., $(-5;17)$.
Write the equation of a line with slope 4 passing through $(7;28)$., $y=4x$.
Write the equation of a line with slope 3 passing through $(14;43)$., $y=3x+1$.
Write the equation of a line with slope -11 passing through $(8;-67)$., $y=-11x+21$.
Write the equation of a line with slope -10 passing through $(13;-107)$., $y=-10x+23$.
Write the equation of a line with slope -12 passing through $(6;-48)$., $y=-12x+24$.
Determine whether the table matches $y=12x+7$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation.
Determine whether the table matches $y=8x+4$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value 4.
Determine whether the table matches $y=6x+26$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value 26.
Determine whether the table matches $y=3x+16$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value 16.
Determine whether the table matches $y=6x-25$. Use at least two input-output pairs to support your conclusion., Yes; the displayed input-output pairs satisfy the equation; check value -25.
