Graph $y=-3x-1$. Mark the $y$-intercept and at least one additional point that shows the slope.	The graph crosses the $y$-axis at $(0,-1)$ and has slope $-3$. One additional point is $(1,-4)$.
Use the graph to identify the $y$-intercept and describe whether the function is increasing or decreasing.	The $y$-intercept is $(0,-2)$. The function is increasing because the slope is $\frac{1}{2}$.
Plot the ordered pairs from the table and draw the linear function through them. Then state its slope and $y$-intercept. $x$ $y$ $-2$ $9$ $0$ $5$ $2$ $1$ $4$ $-3$	The line has slope $-2$ and $y$-intercept $(0,5)$.
A student has 50 dollars saved and adds 12 dollars each week. Sketch a graph with weeks on the horizontal axis and savings on the vertical axis. Identify what the intercept means.	The graph is a line with slope $12$ and vertical intercept $50$. The intercept represents the starting savings.
Read the trip graph to estimate the distance at 1 hours. The requested time is inside the displayed 0-to-8-hour window.	At 1 hours the graph gives about $30$ miles. This uses the model within its displayed range.
The equation is $y=-2x+3$. A student plots $(0,-2)$ as the intercept. Identify the error and correct it.	The intercept is $(0,3)$; -2 is the slope.
Graph $y=\frac{1}{2}x-2$. Mark the $y$-intercept and at least one additional point that shows the slope.	The graph crosses the $y$-axis at $(0,-2)$ and has slope $\frac{1}{2}$. One additional point is $(2,-1)$.
A tank begins with 90 liters and drains 6 liters each minute. Sketch a graph with minutes on the horizontal axis and liters remaining on the vertical axis. Identify what the intercept means.	The graph is a line with slope $-6$ and vertical intercept $90$. The intercept represents the starting liters remaining.
Read the trip graph to estimate the distance at 7 hours. The requested time is inside the displayed 0-to-8-hour window.	At 7 hours the graph gives about $102$ miles. This uses the model within its displayed range.
For $y=3x-4$, state the slope and $y$-intercept.	Slope 3; $y$-intercept $(0,-4)$.
For $y=-x+6$, state the slope and $y$-intercept.	Slope -1; $y$-intercept $(0,6)$.
For $y=\frac12x+2$, state the slope and $y$-intercept.	Slope $\frac12$; $y$-intercept $(0,2)$.
A line starts at 12 and rises 5 per input. What are its intercept and rate?	Intercept 12; rate 5.
A tank starts at 80 liters and drains 4 liters/min. What are its intercept and rate?	Intercept 80; rate -4 liters/min.
A savings account starts at 25 dollars and gains 7 dollars/week. What are its intercept and rate?	Intercept 25; rate 7 dollars/week.
For $y=2x+1$, give the output when $x=4$.	$9$.
For $y=-3x+10$, give the output when $x=2$.	$4$.
For $y=\frac12x-1$, give the output when $x=6$.	$2$.
