bank_id,destination,section,exact_target,mastery_goal_id,expected_evidence,representation,response_type,source_basis
U8-S1-ETA-01,Exit Ticket A,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",,second differences,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETA-02,Exit Ticket A,8.1,"I can apply rate, second-difference, and ratio patterns to select an appropriate function family.",,ratio evidence,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETA-03,Exit Ticket A,8.1,I can determine whether a chosen model is reasonable for a situation and its data pattern.,,reasonableness supported by data pattern and model fit,Context + Table + Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETA-04,Exit Ticket A,8.1,"I can construct evidence from tables, graphs, and contexts to choose a linear, quadratic, or exponential model.",,context behavior,Context,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETB-01,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",,multiple-representation family match supported by actual change patterns,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETB-02,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",,compare function families using an equation and an actual table,Equation + Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETB-03,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",,feature comparison,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETB-04,Exit Ticket B,8.1,"Compare linear, quadratic, and exponential functions using multiple representations.",,family match from three actual tables,Table,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETC-01,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",U8-MG04,method comparison,Equation set,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETC-02,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",U8-MG04,method selection,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETC-03,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",U8-MG04,method execution,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S1-ETC-04,Exit Ticket C,8.1,"Compare factoring, completing the square, and the quadratic formula and select efficient solution methods.",U8-MG04,method selection and solve,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
U8-S2-ETA-01,Exit Ticket A,8.2,"I can build transformed function rules from parent functions across linear, quadratic, exponential, and absolute value families.",,transformation description plus correctly built absolute-value rule,Equation,constructed/open response,Original Unit 8 Assessment Plan + current Algebra Framework + curated section enrichment
