Discriminant of x^2-5x+6=0,1
Number of real solutions when discriminant=1,two real (D=1)
Discriminant of x^2+2x+5=0,-16
Number of real solutions when discriminant=-16,no real (D=-16)
Discriminant of 2x^2-4x+2=0,0
Number of real solutions when discriminant=0,one repeated real (D=0)
Discriminant of x^2-6x+5=0,16
Number of real solutions when discriminant=16,two real (D=16)
Discriminant of 3x^2+x-2=0,25
Number of real solutions when discriminant=25,two real (D=25)
Discriminant of x^2+4x+1=0,12
Number of real solutions when discriminant=12,two real (D=12)
Discriminant of 2x^2+3x+5=0,-31
Number of real solutions when discriminant=-31,no real (D=-31)
Discriminant of x^2-7=0,28
Number of real solutions when discriminant=28,two real (D=28)
Discriminant of 4x^2-6x+1=0,20
Number of real solutions when discriminant=20,two real (D=20)
