Efficient first method: (x-4)(x+3)=0,factoring - already factored
Method feature: (x-4)(x+3)=0,product equals zero
Efficient first method: x^2+8x=7,completing square - even b
Method feature: x^2+8x=7,leading coefficient 1; b=8
Efficient first method: 3x^2+x-5=0,quadratic formula - no simple factors
Method feature: 3x^2+x-5=0,discriminant 61
Efficient first method: x^2-25=0,factoring - difference of squares
Method feature: x^2-25=0,25 is a perfect square
Efficient first method: x^2-6x=2,completing square - even linear term
Method feature: x^2-6x=2,half of -6 is -3
Efficient first method: 2x^2+5x-8=0,quadratic formula - D=89 is not a square
Method feature: 2x^2+5x-8=0,discriminant 89
Efficient first method: (x+6)^2=0,factoring/zero product - squared factor
Method feature: (x+6)^2=0,single factor is zero
Efficient first method: x^2+10x+25=0,factoring - perfect-square trinomial
Method feature: x^2+10x+25=0,x^2+2(5)x+25
Efficient first method: 5x^2-2x-2=0,quadratic formula - D=44 is not a square
Method feature: 5x^2-2x-2=0,discriminant 44
