q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
U7-S1-DOK1.05,formative,7,S1,—,dok1-1 V1-4,context-swap,—
U7-S1-DOK1.01,formative,7,S1,—,dok1-1 V5-6,number-swap,—
U7-S1-DOK1.06,formative,7,S1,—,dok1-1 V7-8,structure-adapt,—
U7-S2-DOK1.01,formative,7,S2,—,dok1-2 V1-4,number-swap,—
U7-S1-DOK1.03,formative,7,S1,—,dok1-2 V5-6,number-swap,—
U7-S2-DOK1.04,formative,7,S2,—,dok1-2 V7-8,structure-adapt,—
U7-S3-DOK1.02,formative,7,S3,—,dok1-3 V1-4,number-swap,—
U7-S3-DOK1.04,formative,7,S3,—,dok1-3 V5-6,structure-adapt,—
U7-S3-DOK1.08,formative,7,S3,—,dok1-3 V7-8,number-swap,—
U7-S4-DOK1.01,formative,7,S4,—,dok1-4 V1-4,number-swap,—
U7-S4-DOK1.02,formative,7,S4,—,dok1-4 V5-6,number-swap,—
U7-S5-DOK1.02,formative,7,S5,—,dok1-4 V7-8,structure-adapt,—
U7-S1-DOK2.02,formative,7,S1,—,dok2-1 V1-4,number-swap,—
U7-S1-DOK2.04,formative,7,S1,—,dok2-1 V5-6,context-swap,—
U7-S1-DOK2.09,formative,7,S1,—,dok2-1 V7-8,structure-adapt,—
U7-S2-DOK2.01,formative,7,S2,—,dok2-2 V1-4,number-swap,—
U7-S2-DOK2.04,formative,7,S2,—,dok2-2 V5-6,number-swap,—
U7-S2-DOK2.03,formative,7,S2,—,dok2-2 V7-8,context-swap,—
U7-S3-DOK2.01,formative,7,S3,—,dok2-3 V1-4,number-swap,—
U7-S3-DOK2.03,formative,7,S3,—,dok2-3 V5-6,structure-adapt,—
U7-S3-DOK2.05,formative,7,S3,—,dok2-3 V7-8,structure-adapt,—
U7-S4-DOK2.02,formative,7,S4,—,dok2-4 V1-4,number-swap,—
U7-S4-DOK2.09,formative,7,S4,—,dok2-4 V5-6,structure-adapt,—
U7-S5-DOK2.06,formative,7,S5,—,dok2-4 V7-8,structure-adapt,—
U7-S1-DOK3.01,formative,7,S1,—,dok3-1 V1-4,context-swap,—
U7-S1-DOK3.02,formative,7,S1,—,dok3-1 V5-6,structure-adapt,—
U7-S2-DOK3.04,formative,7,S2,—,dok3-1 V7-8,context-swap,—
U7-S3-DOK3.01,formative,7,S3,—,dok3-2 V1-4,number-swap,—
U7-S2-DOK3.03,formative,7,S2,—,dok3-2 V5-6,structure-adapt,—
U7-S3-DOK3.03,formative,7,S3,—,dok3-2 V7-8,context-swap,—
U7-S4-DOK3.03,formative,7,S4,—,dok3-3 V1-4,context-swap,—
U7-S4-DOK3.01,formative,7,S4,—,dok3-3 V5-6,structure-adapt,—
U7-S4-DOK3.04,formative,7,S4,—,dok3-3 V7-8,structure-adapt,—
U7-S5-DOK3.02,formative,7,S5,—,dok3-4 V1-4,number-swap,—
U7-S5-DOK3.04,formative,7,S5,—,dok3-4 V5-6,structure-adapt,—
U7-S5-DOK3.01,formative,7,S5,—,dok3-4 V7-8,context-swap,—
U7-S1-DOK4.01,formative,7,S1,—,dok4-1 V1-4,context-swap,—
U7-S2-DOK4.01,formative,7,S2,—,dok4-1 V5-6,context-swap,—
U7-S2-DOK4.02,formative,7,S2,—,dok4-1 V7-8,structure-adapt,—
U7-S2-DOK4.04,formative,7,S2,—,dok4-2 V1-4,context-swap,—
U7-S2-DOK4.03,formative,7,S2,—,dok4-2 V5-6,structure-adapt,—
U7-S1-DOK4.03,formative,7,S1,—,dok4-2 V7-8,structure-adapt,—
U7-S4-DOK4.03,formative,7,S4,—,dok4-3 V1-4,structure-adapt,—
U7-S4-DOK4.02,formative,7,S4,—,dok4-3 V5-6,structure-adapt,—
U7-S4-DOK4.04,formative,7,S4,—,dok4-3 V7-8,structure-adapt,—
U7-S5-DOK4.01,formative,7,S5,—,dok4-4 V1-4,context-swap,—
U7-S5-DOK4.04,formative,7,S5,—,dok4-4 V5-6,structure-adapt,—
U7-S3-DOK4.04,formative,7,S3,—,dok4-4 V7-8,structure-adapt,—
