section,target_id,target_type,exact_text,routing_stage,mastery_goal
3.1,U3-S1-IC1,Section I-can,I can construct graphical representations of systems and connect intersection points to solutions.,Intro,
3.1,U3-S1-IC2,Section I-can,I can use elimination to solve systems and interpret the solution type.,Intro,
3.1,U3-S1-IC3,Section I-can,"I can determine whether a system has one solution, no solution, or infinitely many solutions from algebraic and graphical evidence.",Intro,
3.1,U3-S1-INTRO,Spiral stage target,Solve systems graphically and by elimination while interpreting the meaning of different solution types.,Intro,
3.1,U3-S1-REVIEW,Spiral stage target,Graph linear functions and interpret key features.,Review,
3.1,U3-S1-MASTERY,Spiral stage target,"Connect tables, graphs, equations, and contexts that represent the same relationship.",Mastery,U3-MG01
3.2,U3-S2-IC1,Section I-can,I can formulate a substitution plan when one equation is already written in an efficient form.,Intro,
3.2,U3-S2-IC2,Section I-can,I can apply substitution to solve systems and interpret the ordered-pair solution.,Intro,
3.2,U3-S2-IC3,Section I-can,I can assess which algebraic method is more efficient for a given system.,Intro,
3.2,U3-S2-INTRO,Spiral stage target,Solve systems using substitution and choose efficient forms for solving.,Intro,
3.2,U3-S2-REVIEW,Spiral stage target,"Write linear equations from graphs, tables, and situations.",Review,
3.2,U3-S2-MASTERY,Spiral stage target,"Interpret and rewrite algebraic expressions by identifying structure, meaning, and equivalent forms.",Mastery,U3-MG03
3.3,U3-S3-IC1,Section I-can,I can build a system of equations that represents two constraints in a situation.,Intro,
3.3,U3-S3-IC2,Section I-can,I can predict the meaning of a solution before solving from the context and variables.,Intro,
3.3,U3-S3-IC3,Section I-can,"I can design a solution pathway that connects equations, calculations, and a contextual conclusion.",Intro,
3.3,U3-S3-INTRO,Spiral stage target,Create and solve systems that model real-world situations.,Intro,
3.3,U3-S3-REVIEW,Spiral stage target,Use linear models to represent and interpret real-world data.,Review,
3.3,U3-S3-MASTERY,Spiral stage target,"Write, solve, and interpret equations that model situations.",Mastery,U3-MG04
3.4,U3-S4-IC1,Section I-can,I can construct a boundary line and shaded region for a linear inequality.,Intro,
3.4,U3-S4-IC2,Section I-can,I can use test points to interpret which region satisfies an inequality.,Intro,
3.4,U3-S4-IC3,Section I-can,"I can critique a graph of a linear inequality using the boundary, shading, and solution region.",Intro,
3.4,U3-S4-INTRO,Spiral stage target,Graph and interpret linear inequalities.,Intro,
3.4,U3-S4-REVIEW,Spiral stage target,Interpret slope as a measure of constant rate of change.,Review,
3.4,U3-S4-MASTERY,Spiral stage target,"Recognize common function families from graphs, tables, equations, and contexts.",Mastery,U3-MG02
3.5,U3-S5-IC1,Section I-can,I can formulate a system of inequalities that represents multiple constraints.,Intro,
3.5,U3-S5-IC2,Section I-can,I can extend graphing strategies to represent overlapping solution regions.,Intro,
3.5,U3-S5-IC3,Section I-can,I can apply feasible-region reasoning to interpret possible solutions in context.,Intro,
3.5,U3-S5-INTRO,Spiral stage target,Analyze and interpret systems of linear inequalities.,Intro,
3.5,U3-S5-REVIEW,Spiral stage target,Analyze and compare linear relationships using multiple representations.,Review,
3.5,U3-S5-MASTERY,Spiral stage target,Interpret functions as rules that connect inputs and outputs without relying on formal domain and range language.,Mastery,U3-MG02
,U3-MG01,Mastery Goal,"Connect tables, graphs, equations, and contexts that represent the same relationship and use evidence to determine whether representations agree.",Portfolio/Summative,U3-MG01
,U3-MG02,Mastery Goal,"Interpret functions through inputs, outputs, rules, and family features, and distinguish common function families using representation evidence.",Portfolio/Summative,U3-MG02
,U3-MG03,Mastery Goal,"Interpret and rewrite algebraic expressions by using structure, grouping, properties, substitution, and equivalent forms.",Portfolio/Summative,U3-MG03
,U3-MG04,Mastery Goal,"Write, solve, and interpret equations that model situations and judge whether solutions are reasonable in context.",Portfolio/Summative,U3-MG04
3.1,U3-S1-WU1-DIAMOND,Recurring retrieval target,"I can apply operation rules to calculate sums, differences, products, and quotients with rational numbers.",Review,
3.2,U3-S2-WU1-DIAMOND,Recurring retrieval target,"I can apply operation rules to calculate sums, differences, products, and quotients with rational numbers.",Review,
3.3,U3-S3-WU1-DIAMOND,Recurring retrieval target,"I can apply operation rules to calculate sums, differences, products, and quotients with rational numbers.",Review,
3.4,U3-S4-WU1-DIAMOND,Recurring retrieval target,"I can apply operation rules to calculate sums, differences, products, and quotients with rational numbers.",Review,
3.5,U3-S5-WU1-DIAMOND,Recurring retrieval target,"I can apply operation rules to calculate sums, differences, products, and quotients with rational numbers.",Review,
