q_id,artifact_type,artifact_unit,artifact_section,artifact_day,artifact_slot,usage_type,combine_with
U1-S1-DOK2.02,summative,1,1.1,—,target1 V1-4,number-swap,
U1-S1-DOK2.01,summative,1,1.1,—,target1 V5-6,context-swap,
U1-S1-DOK2.04,summative,1,1.1,—,target1 V7-8,switch-order,
U1-S2-DOK1.01,summative,1,1.2,—,target2 V1-4,number-swap,
U1-S2-DOK1.06,summative,1,1.2,—,target2 V5-6,number-swap,
U1-S2-DOK1.09,summative,1,1.2,—,target2 V7-8,number-swap,
U1-S3-DOK1.01,summative,1,1.3,—,target3 V1-4,number-swap,
U1-S3-DOK1.12,summative,1,1.3,—,target3 V5-6,number-swap,
U1-S3-DOK1.11,summative,1,1.3,—,target3 V7-8,number-swap,
U1-S4-DOK1.03,summative,1,1.4,—,target4 V1-4,number-swap,
U1-S4-DOK1.06,summative,1,1.4,—,target4 V5-6,number-swap,
U1-S4-DOK1.07,summative,1,1.4,—,target4 V7-8,number-swap,
U1-S5-DOK1.01,summative,1,1.5,—,target5 V1-4,number-swap,
U1-S5-DOK1.03,summative,1,1.5,—,target5 V5-6,number-swap,
U1-S5-DOK1.08,summative,1,1.5,—,target5 V7-8,reword,
U1-S2-DOK2.03,summative,1,1.2,—,target6 V1-4,number-swap,
U1-S2-DOK2.10,summative,1,1.2,—,target6 V5-6,number-swap,
U1-S2-DOK2.09,summative,1,1.2,—,target6 V7-8,number-swap,
U1-S3-DOK2.01,summative,1,1.3,—,target7 V1-4,number-swap,
U1-S3-DOK2.05,summative,1,1.3,—,target7 V5-6,number-swap,
U1-S3-DOK2.06,summative,1,1.3,—,target7 V7-8,number-swap,
U1-S5-DOK2.01,summative,1,1.5,—,target8 V1-4,context-swap,
U1-S5-DOK2.04,summative,1,1.5,—,target8 V5-6,reword,
U1-S5-DOK2.07,summative,1,1.5,—,target8 V7-8,number-swap,
U1-S1-DOK3.02,summative,1,1.1,—,target9 V1-4,number-swap,
U1-S1-DOK3.01,summative,1,1.1,—,target9 V5-6,number-swap,
U1-S1-DOK3.04,summative,1,1.1,—,target9 V7-8,switch-order,
U1-S4-DOK3.03,summative,1,1.4,—,target10 V1-4,number-swap,
U1-S4-DOK3.01,summative,1,1.4,—,target10 V5-6,number-swap,
U1-S4-DOK3.04,summative,1,1.4,—,target10 V7-8,number-swap,
