Solve $3x+5=26$, $x=7$
Solve $4(x+2)=32$, $x=6$
Solve $6x+1=3x+16$, $x=5$
Start 9 dollars plus 4 per visit totals 37. Visits, 7 visits
Equation for 5 more than twice n equals 23, $2n+5=23$
Solve $2x-9=17$, $x=13$
Rule $y=3x+2$. Output at x=4, 14
Rate from outputs 5 then 9 then 13, 4
Starting value in $y=6x-8$, -8
Point on y-axis for $y=2x+11$, $(0;11)$
Rate in $y=-3x+7$, -3
Solve $5x-4=36$, $x=8$
Solve $3(x-2)=21$, $x=9$
Solve $7x+2=4x+32$, $x=10$
Solution check for $2x+1=23$, $x=11$
Start 12 plus 6 per hour totals 48. Hours, 6 hours
Solve $9-2x=-15$, $x=12$
Solve $8x=32$, $x=4$
