linear trend upward,positive association
linear trend downward,negative association
prediction inside data range,interpolation
prediction far beyond range,extrapolation
model y=3x+5 at x=4,17
model y=2x+8 at x=6,20
slope in model y=4x+7,4
start in model y=4x+7,7
small residuals indicate,closer fit
curved residual pattern suggests,linear model may be poor
observed 12 predicted 10 error magnitude,2
observed 9 predicted 10 error magnitude,1
line of fit purpose,model trend
scatter plot point represents,observed pair
model prediction is,estimate
large extrapolation requires,caution
near-linear data can use,linear model
slope units come from,output per input
